Report on the BioLiP file

Number of proteins without metal ligands: 24013
Ligand;Size;Num of occurrences
"BLM";6;2
"BLM";7;1
"BLM";8;1
"BLM";12;1
"BLM";14;1
"BLM";15;1
"BLR";23;1
"BLR";25;1
"BLS";2;2
"BLS";14;1
"BLV";22;1
"BLV";23;1
"BM0";3;1
"BM0";4;1
"BMA";2;122
"BMA";3;71
"BMA";4;48
"BMA";5;23
"BMA";6;17
"BMA";7;12
"BMA";8;11
"BMA";9;9
"BMA";10;4
"BMA";11;4
"BMA";12;3
"BMD";9;1
"BMF";3;1
"BMF";4;2
"BMF";5;2
"BMF";6;1
"BMF";8;1
"BMF";11;2
"BMF";12;1
"BMJ";15;1
"BMK";3;1
"BML";5;1
"BML";6;2
"BMP";3;5
"BMP";4;1
"BMP";12;1
"BMP";13;5
"BMQ";3;1
"BMQ";16;1
"BMX";4;2
"BMX";5;1
"BMX";9;1
"BMX";10;1
"BMX";18;1
"BNI";19;1
"BNL";9;1
"BNU";13;1
"BNV";16;1
"BNW";23;1
"BO2";2;2
"BO2";8;1
"BO2";11;3
"BO2";12;2
"BO2";14;1
"BO4";3;1
"BOB";2;1
"BOB";13;1
"BOG";4;1
"BOG";6;1
"BOG";7;3
"BOG";9;1
"BOM";9;1
"BOM";18;1
"BPB";4;1
"BPB";6;1
"BPB";12;1
"BPB";18;1
"BPH";3;3
"BPH";4;5
"BPH";5;9
"BPH";6;7
"BPH";7;2
"BPH";11;3
"BPH";12;2
"BPH";14;3
"BPH";15;1
"BPH";16;4
"BPH";17;2
"BPH";18;2
"BPH";19;1
"BPH";20;1
"BPH";22;1
"BPY";3;1
"BPY";10;1
"BPY";14;1
"BQ1";2;1
"BQ1";3;1
"BQ1";4;1
"BQ6";17;1
"BQ7";3;1
"BQ7";10;1
"BQ9";8;1
"BQA";11;1
"BQL";4;1
"BQL";6;1
"BQO";3;1
"BQO";5;1
"BQX";25;1
"BR";2;10
"BR";3;7
"BR";4;4
"BR";5;1
"BR0";9;1
"BR8";3;1
"BR8";11;1
"BRC";9;1
"BRD";4;1
"BRD";10;1
"BRT";8;1
"BRU";4;2
"BRU";7;1
"BRU";8;1
"BS0";10;1
"BSI";15;1
"BSU";12;1
"BSU";14;1
"BSX";10;1
"BSY";8;1
"BT5";27;1
"BT6";3;1
"BT8";16;1
"BTI";2;7
"BTI";3;1
"BTI";4;3
"BTI";5;1
"BTI";7;3
"BTI";8;3
"BTI";14;1
"BTI";15;1
"BTM";7;1
"BTM";10;1
"BTN";2;1
"BTN";3;1
"BTN";5;1
"BTN";6;1
"BTN";7;1
"BTN";14;4
"BTN";15;7
"BTN";16;7
"BTN";17;3
"BTN";18;1
"BTN";19;3
"BTN";20;2
"BTS";2;1
"BTX";28;1
"BU1";5;1
"BU2";2;2
"BU2";3;1
"BU2";4;4
"BU2";5;3
"BU2";6;4
"BU2";8;2
"BU3";2;14
"BU3";3;12
"BU3";4;8
"BU3";5;9
"BU3";6;10
"BU3";7;4
"BU3";8;3
"BU4";2;1
"BU4";3;1
"BU4";9;1
"BU9";3;1
"BU9";4;2
"BU9";5;1
"BU9";9;1
"BUA";4;1
"BUA";5;3
"BUA";6;3
"BUA";7;2
"BUD";3;1
"BUD";4;2
"BUD";6;2
"BUD";7;1
"BUD";9;1
"BUL";15;1
"BUL";18;1
"BUO";4;1
"BV7";6;1
"BV8";28;1
"BVP";2;1
"BVP";12;2
"BVQ";34;1
"BVT";5;1
"BVT";32;1
"BWC";14;1
"BX0";2;1
"BX7";18;2
"BXK";17;1
"BXX";2;1
"BXX";5;1
"BXX";7;1
"BXY";2;5
"BXY";3;1
"BXY";6;1
"BXY";7;2
"BY9";17;1
"BYB";12;1
"BYC";23;2
"BYN";21;1
"BZ1";11;1
"BZ7";8;1
"BZB";10;1
"BZH";7;1
"BZJ";2;1
"BZJ";5;1
"BZM";2;1
"BZM";9;1
"BZM";12;1
"BZS";9;1
"C";5;1
"C";13;1
"C";14;1
"C";15;1
"C03";22;1
"C05";5;1
"C0C";17;1
"C0R";3;1
"C0R";6;1
"C0R";8;1
"C0R";9;1
"C0R";10;1
"C0T";17;1
"C0T";20;1
"C11";10;1
"C11";11;1
"C15";4;2
"C15";5;1
"C1E";13;1
"C1V";8;1
"C1Y";16;1
"C1Z";10;1
"C1Z";16;1
"C2E";2;1
"C2E";3;9
"C2E";4;2
"C2E";5;12
"C2E";6;8
"C2E";7;7
"C2E";8;5
"C2E";9;9
"C2E";10;8
"C2E";11;6
"C2E";12;3
"C2E";13;2
"C2E";14;2
"C2E";15;2
"C2E";16;5
"C2E";17;2
"C2E";18;3
"C2E";20;3
"C2E";21;2
"C2E";22;1
"C2F";10;1
"C2F";11;1
"C2F";14;2
"C2F";15;2
"C2F";16;1
"C2K";15;1
"C2N";8;1
"C3G";14;1
"C3G";16;1
"C3R";8;1
"C3S";10;1
"C3S";11;1
"C3W";9;1
"C4W";2;1
"C5B";10;1
"C5F";9;1
"C5F";13;1
"C5J";8;2
"C5P";3;2
"C5P";4;1
"C5P";8;4
"C5P";9;1
"C5P";10;1
"C5P";11;4
"C5P";12;3
"C5P";14;6
"C5P";15;2
"C5P";16;1
"C5P";17;1
"C5U";10;1
"C5Y";15;1
"C64";3;1
"C6J";10;1
"C6L";9;1
"C6N";2;1
"C6N";7;1
"C6P";14;1
"C6P";18;1
"C6S";13;1
"C6W";5;1
"C76";8;1
"C7B";2;1
"C7B";5;1
"C7V";12;1
"C7Z";2;1
"C7Z";3;6
"C7Z";4;2
"C7Z";5;2
"C7Z";6;1
"C7Z";7;2
"C7Z";8;1
"C7Z";9;1
"C7Z";10;1
"C7Z";11;1
"C7Z";12;1
"C7Z";13;1
"C7Z";14;3
"C87";16;1
"C8E";2;53
"C8E";3;61
"C8E";4;61
"C8E";5;66
"C8E";6;54
"C8E";7;41
"C8E";8;25
"C8E";9;14
"C8E";10;8
"C8E";11;4
"C8E";12;4
"C8E";14;2
"C8E";15;5
"C8E";17;2
"C8E";19;1
"C8H";12;1
"C8K";11;1
"C8O";12;1
"C8X";4;1
"C8X";15;1
"C9C";12;1
"C9D";16;1
"C9M";11;1
"C9O";22;1
"CA0";12;1
"CA0";18;1
"CA6";5;1
"CA6";17;1
"CA7";5;1
"CA7";6;1
"CAA";3;1
"CAA";11;1
"CAA";13;2
"CAA";19;1
"CAA";20;1
"CAA";21;3
"CAA";23;1
"CAA";26;1
"CAB";11;1
"CAC";2;1
"CAC";3;1
"CAC";4;1
"CAC";6;4
"CAC";7;1
"CAD";7;1
"CAG";19;1
"CAH";6;1
"CAH";8;1
"CAM";6;1
"CAM";8;1
"CAO";3;1
"CAO";17;1
"CAO";21;1
"CAP";2;4
"CAP";3;3
"CAP";4;2
"CAP";6;1
"CAP";14;1
"CAP";15;1
"CAP";16;6
"CAP";17;5
"CAP";18;2
"CAQ";2;2
"CAQ";8;1
"CAQ";9;1
"CAT";6;1
"CAU";16;1
"CAX";9;1
"CAZ";13;1
"CB4";12;1
"CB9";12;1
"CBC";2;1
"CBC";15;1
"CBD";6;1
"CBD";9;1
"CBE";6;1
"CBO";2;1
"CBO";5;1
"CBO";16;1
"CBW";6;1
"CBY";4;1
"CBY";13;1
"CC7";9;1
"CCE";3;1
"CCK";14;1
"CCU";10;1
"CCU";11;1
"CDC";2;1
"CDC";13;1
"CDC";16;2
"CDC";18;2
"CDF";13;1
"CDI";12;1
"CDL";2;6
"CDL";3;6
"CDL";4;4
"CDL";5;3
"CDL";7;3
"CDL";8;2
"CDL";9;1
"CDL";10;2
"CDL";11;1
"CDL";13;1
"CDL";15;1
"CDM";7;1
"CDM";13;1
"CDN";8;1
"CDN";15;1
"CDP";4;2
"CDP";6;2
"CDP";9;3
"CDP";10;1
"CDP";11;1
"CDP";12;3
"CDP";13;2
"CDP";14;2
"CDP";15;2
"CDP";16;2
"CDP";18;3
"CDP";22;1
"CDT";12;1
"CE";4;1
"CE3";8;1
"CE3";9;1
"CED";11;1
"CEF";11;2
"CEF";12;2
"CEF";13;1
"CEF";15;1
"CEI";18;1
"CEM";9;1
"CEN";4;1
"CEP";13;1
"CER";8;1
"CER";11;1
"CEZ";12;1
"CF5";12;1
"CFA";5;1
"CFA";10;1
"CFA";11;1
"CFB";10;1
"CFC";10;1
"CFF";3;1
"CFF";5;2
"CFF";6;3
"CFF";9;1
"CFF";10;1
"CFH";3;1
"CFM";13;2
"CFO";8;1
"CG2";10;1
"CG3";2;1
"CG7";3;1
"CG7";9;1
"CGM";19;1
"CGO";6;1
"CGO";7;1
"CGO";8;1
"CGQ";3;1
"CH0";5;1
"CH5";13;1
"CHD";2;1
"CHD";4;1
"CHD";6;1
"CHD";8;1
"CHD";10;1
"CHD";11;1
"CHD";12;1
"CHD";15;2
"CHL";2;16
"CHL";3;18
"CHL";4;19
"CHL";5;16
"CHL";6;56
"CHL";7;41
"CHL";8;34
"CHL";9;27
"CHL";10;23
"CHL";11;23
"CHL";12;13
"CHL";13;14
"CHL";14;8
"CHL";15;5
"CHL";16;6
"CHL";18;1
"CHL";19;1
"CHM";2;1
"CHO";5;1
"CHO";6;2
"CHO";8;1
"CHO";11;2
"CHO";12;1
"CHO";14;2
"CHO";20;1
"CHS";2;2
"CHS";5;1
"CHT";3;2
"CHT";4;8
"CHT";5;15
"CHT";6;4
"CHT";7;2
"CHT";8;2
"CHT";10;1
"CHT";13;1
"CHX";3;1
"CHX";6;1
"CI0";17;1
"CI2";10;1
"CIB";11;1
"CII";10;1
"CIR";8;1
"CIR";11;1
"CIR";13;4
"CIS";2;1
"CIS";4;1
"CIT";4;2
"CIT";9;1
"CIT";14;1
"CJ7";12;1
"CJ8";8;1
"CJJ";18;1
"CJX";13;1
"CK7";11;1
"CKA";4;1
"CKA";9;1
"CKA";11;1
"CKK";19;1
"CKL";14;1
"CKP";16;1
"CL";2;45
"CL";3;31
"CL";4;20
"CL";5;6
"CL0";2;1
"CL0";3;9
"CL0";18;2
"CL0";19;1
"CL0";20;5
"CL0";21;1
"CL0";22;2
"CL7";2;12
"CL7";3;14
"CL7";4;12
"CL7";5;11
"CL7";6;14
"CL7";7;12
"CL7";8;16
"CL7";9;9
"CL7";10;12
"CL7";11;8
"CL7";12;4
"CL7";13;7
"CL7";14;6
"CL7";15;1
"CL7";16;3
"CL7";17;1
"CL7";18;1
"CLA";2;551
"CLA";3;532
"CLA";4;469
"CLA";5;488
"CLA";6;462
"CLA";7;348
"CLA";8;260
"CLA";9;261
"CLA";10;261
"CLA";11;226
"CLA";12;209
"CLA";13;218
"CLA";14;145
"CLA";15;145
"CLA";16;136
"CLA";17;102
"CLA";18;58
"CLA";19;43
"CLA";20;19
"CLA";21;7
"CLA";22;4
"CLA";23;1
"CLA";24;1
"CLF";8;2
"CLF";9;8
"CLF";10;1
"CLF";13;1
"CLJ";17;1
"CLK";8;1
"CLL";27;1
"CLM";2;1
"CLM";6;1
"CLM";7;1
"CLM";16;1
"CLP";10;1
"CLQ";3;1
"CLQ";4;2
"CLR";2;46
"CLR";3;70
"CLR";4;62
"CLR";5;69
"CLR";6;46
"CLR";7;23
"CLR";8;17
"CLR";9;10
"CLR";10;3
"CLR";11;2
"CLR";12;2
"CLR";13;1
"CLR";14;5
"CLR";15;2
"CLR";17;1
"CM5";2;2
"CM5";3;2
"CM5";4;2
"CM5";5;2
"CM5";10;2
"CM5";11;1
"CMA";9;1
"CMC";2;1
"CMC";13;1
"CMC";19;2
"CMC";21;2
"CMC";22;1
"CMC";23;2
"CMC";24;1
"CMK";3;1
"CMK";6;2
"CMK";10;1
"CMK";13;1
"CMK";15;1
"CMK";20;1
"CMO";2;1
"CMO";3;1
"CMO";4;3
"CMP";2;4
"CMP";4;1
"CMP";8;2
"CMP";9;3
"CMP";10;2
"CMP";12;2
"CMP";13;7
"CMP";14;7
"CMP";15;6
"CMP";16;3
"CMP";17;1
"CMP";18;2
"CMP";19;1
"CMS";3;1
"CMS";8;1
"CMV";11;1
"CMX";2;1
"CMX";20;1
"CN5";4;1
"CNA";9;1
"CNA";15;1
"CNA";21;1
"CNC";7;1
"CNC";16;1
"CNC";17;1
"CNC";18;1
"CNC";23;1
"CNC";24;1
"CNC";29;1
"CNC";30;1
"CNI";10;1
"CNR";2;1
"CNR";3;1
"CNR";4;1
"CO2";3;2
"CO2";5;1
"CO2";7;1
"CO3";2;22
"CO3";3;22
"CO3";4;12
"CO3";5;11
"CO3";6;8
"CO3";7;10
"CO3";8;7
"CO3";9;17
"CO6";19;1
"CO6";22;1
"CO8";7;1
"CO8";17;1
"CO8";21;1
"CO8";22;1
"CO8";23;1
"CO8";27;1
"COA";2;15
"COA";3;14
"COA";4;8
"COA";5;7
"COA";6;13
"COA";7;18
"COA";8;12
"COA";9;18
"COA";10;16
"COA";11;11
"COA";12;16
"COA";13;12
"COA";14;16
"COA";15;17
"COA";16;12
"COA";17;26
"COA";18;24
"COA";19;24
"COA";20;13
"COA";21;13
"COA";22;8
"COA";23;4
"COB";17;1
"COB";23;1
"COB";25;1
"COB";27;1
"COB";37;1
"COC";5;1
"COC";10;1
"COD";2;1
"COD";3;1
"COD";18;1
"COD";20;1
"COD";21;1
"COD";25;1
"COF";2;1
"COF";18;1
"COH";12;1
"COH";17;1
"COH";22;1
"COI";2;1
"COI";7;1
"COI";11;1
"COJ";14;1
"COK";21;1
"COM";2;19
"COM";3;8
"COM";4;1
"COM";5;1
"COM";9;1
"COM";10;2
"COO";12;1
"COS";10;1
"COS";14;1
"COS";17;1
"COS";19;1
"COT";28;1
"COW";18;1
"COZ";14;1
"CP";3;1
"CP";9;4
"CP";10;5
"CP6";9;2
"CP6";11;1
"CPB";9;1
"CPD";11;1
"CPF";10;1
"CPJ";7;1
"CPL";2;3
"CPL";3;4
"CPL";4;5
"CPL";5;4
"CPL";6;2
"CPL";7;3
"CPL";8;1
"CPL";9;2
"CPL";10;1
"CPL";11;1
"CPL";12;2
"CPL";15;1
"CPL";16;1
"CPL";17;1
"CPQ";2;1
"CPQ";4;1
"CPQ";6;2
"CPR";3;1
"CPR";11;1
"CPR";13;1
"CPR";14;1
"CPR";15;1
"CPS";4;1
"CPS";5;1
"CPS";6;1
"CPS";7;1
"CPT";2;1
"CPT";3;1
"CPU";14;1
"CPZ";6;1
"CPZ";9;1
"CQA";10;1
"CQA";11;2
"CQI";21;1
"CQM";19;1
"CQN";5;1
"CR8";18;1
"CRB";13;4
"CRD";4;1
"CRM";13;1
"CRM";15;1
"CRS";6;1
"CRT";2;3
"CRT";3;8
"CRT";4;4
"CRT";5;4
"CRT";6;2
"CRT";7;2
"CRT";9;2
"CRT";19;1
"CRT";21;1
"CRT";23;1
"CS";2;1
"CS";4;1
"CS";5;2
"CS2";2;1
"CS2";7;1
"CS2";12;1
"CS2";15;1
"CSC";14;1
"CSF";17;1
"CSF";22;1
"CSF";23;1
"CSX";10;1
"CTL";10;1
"CTM";16;1
"CTN";4;2
"CTN";6;1
"CTN";11;1
"CTN";14;1
"CTP";2;3
"CTP";4;2
"CTP";5;4
"CTP";6;2
"CTP";7;2
"CTP";8;3
"CTP";9;1
"CTP";10;1
"CTP";11;4
"CTP";12;3
"CTP";13;4
"CTP";14;3
"CTP";15;2
"CTP";16;2
"CTP";17;3
"CTP";18;3
"CTP";19;2
"CTP";20;2
"CTS";11;1
"CTZ";18;1
"CU1";2;56
"CU1";3;31
"CU1";4;15
"CUA";3;1
"CUA";4;1
"CUA";5;3
"CUA";6;8
"CUN";11;1
"CUO";7;9
"CUO";8;8
"CUV";11;1
"CUY";26;1
"CV1";10;1
"CV2";13;1
"CVE";6;1
"CVI";8;1
"CVM";2;2
"CVM";3;3
"CVM";5;1
"CVM";6;1
"CVQ";21;1
"CW2";15;1
"CWB";6;1
"CWB";7;1
"CWY";14;1
"CXR";13;1
"CXT";15;2
"CXU";13;1
"CXX";9;1
"CXX";14;1
"CXY";20;1
"CYC";9;1
"CYC";15;2
"CYC";16;2
"CYC";17;1
"CYC";18;2
"CYC";19;5
"CYC";20;1
"CYC";21;4
"CYC";22;1
"CYC";23;1
"CYN";2;2
"CYN";3;1
"CYN";4;6
"CYS";2;4
"CYS";3;8
"CYS";4;9
"CYS";5;13
"CYS";6;7
"CYS";7;5
"CYS";8;5
"CYS";9;4
"CYS";10;2
"CYS";11;3
"CYT";2;2
"CYT";8;1
"CYT";10;2
"CYT";11;1
"CYZ";5;2
"CZC";11;1
"CZD";15;1
"CZH";19;1
"CZH";22;2
"CZH";23;1
"CZL";7;1
"CZX";7;1
"CZX";12;1
"CZX";14;1
"D06";2;1
"D06";4;1
"D06";6;1
"D06";7;1
"D06";10;1
"D06";17;1
"D07";6;1
"D0Q";9;1
"D0Q";12;1
"D12";8;1
"D15";19;1
"D16";12;1
"D16";13;1
"D16";14;4
"D1L";6;1
"D1L";9;1
"D1V";11;1
"D1X";11;1
"D20";12;1
"D21";2;1
"D21";8;1
"D21";9;1
"D22";13;1
"D2Y";9;1
"D3D";4;1
"D3T";10;1
"D3T";12;1
"D3T";13;2
"D3Y";3;1
"D3Y";12;1
"D3Z";9;1
"D40";11;1
"D4F";23;1
"D4R";11;1
"D5E";11;1
"D5M";6;1
"D5M";8;4
"D5M";10;1
"D5M";15;1
"D6K";6;1
"D6M";4;1
"D6M";7;1
"D6N";11;1
"D6Q";19;1
"D77";5;1
"D77";8;1
"D7S";16;1
"D7V";13;1
"D7W";15;1
"D80";5;1
"D80";8;1
"D8F";11;1
"D8K";17;1
"D8L";9;1
"D8U";2;1
"D99";11;1
"D9L";11;1
"DA";3;1
"DA";4;1
"DA";5;3
"DA";6;2
"DA";7;2
"DA";8;1
"DA";9;1
"DA";11;1
"DA8";11;1
"DAB";5;2
"DAC";8;1
"DAC";9;1
"DAF";7;1
"DAF";15;1
"DAH";2;1
"DAH";6;1
"DAL";2;1
"DAL";3;1
"DAL";4;2
"DAL";5;6
"DAL";6;6
"DAL";7;3
"DAL";8;2
"DAL";9;6
"DAL";10;1
"DAN";10;1
"DAN";11;1
"DAN";12;1
"DAN";13;2
"DAR";8;1
"DAR";10;1
"DAR";11;1
"DAS";12;1
"DAT";11;1
"DAT";12;1
"DAU";20;1
"DAU";23;2
"DB4";14;1
"DB6";7;1
"DB8";6;1
"DB8";17;1
"DBC";10;1
"DBH";11;1
"DBI";9;1
"DBS";6;1
"DBS";8;1
"DBV";2;4
"DBV";3;3
"DBV";4;1
"DBV";5;1
"DBV";8;1
"DBV";9;1
"DBV";10;1
"DBV";14;5
"DBV";18;1
"DC";3;1
"DCA";9;1
"DCA";20;1
"DCA";21;1
"DCC";3;1
"DCC";13;1
"DCE";4;1
"DCF";15;1
"DCF";16;1
"DCF";17;1
"DCK";9;1
"DCM";7;1
"DCM";8;1
"DCM";11;1
"DCM";13;1
"DCM";17;1
"DCO";9;1
"DCP";9;1
"DCP";11;3
"DCP";12;1
"DCP";13;2
"DCP";15;1
"DCQ";2;1
"DCQ";4;1
"DCQ";5;3
"DCQ";8;1
"DCR";7;1
"DCR";12;1
"DCR";20;1
"DCS";4;3
"DCS";11;1
"DCS";12;1
"DCS";14;1
"DCS";15;1
"DCT";6;1
"DCT";14;1
"DCW";3;1
"DCX";3;1
"DCX";5;1
"DCZ";13;1
"DD6";2;3
"DD6";3;2
"DD6";4;3
"DD6";5;5
"DD6";6;3
"DD6";8;3
"DD6";9;2
"DD6";10;3
"DD6";11;2
"DD6";12;1
"DD6";13;6
"DD6";14;5
"DD6";15;4
"DD6";16;3
"DDN";16;1
"DDN";17;1
"DDS";15;1
"DE5";9;1
"DE7";12;1
"DEA";14;1
"DEB";5;1
"DEB";12;1
"DEF";7;1
"DEM";3;1
"DEP";11;1
"DER";14;1
"DFH";7;1
"DFP";6;1
"DFP";7;1
"DFP";8;1
"DFP";10;1
"DFU";10;2
"DFV";12;1
"DG";7;1
"DG2";14;1
"DG3";6;1
"DG3";8;1
"DG3";10;1
"DG3";11;1
"DG6";11;1
"DG9";25;1
"DG9";28;1
"DGF";11;1
"DGI";8;1
"DGI";10;2
"DGI";14;1
"DGJ";2;1
"DGJ";9;1
"DGJ";10;2
"DGJ";13;1
"DGL";2;3
"DGL";3;2
"DGL";6;1
"DGL";7;1
"DGL";8;1
"DGL";9;1
"DGL";11;1
"DGL";12;2
"DGL";13;6
"DGL";14;2
"DGN";7;1
"DGP";8;1
"DGP";13;1
"DGP";14;1
"DGP";15;3
"DGS";6;1
"DGT";2;1
"DGT";4;5
"DGT";5;3
"DGT";6;4
"DGT";8;5
"DGT";13;4
"DGT";14;3
"DGT";15;3
"DGT";17;1
"DGT";18;1
"DGW";14;1
"DGX";8;1
"DGY";7;1
"DGY";8;1
"DGY";9;1
"DH2";9;1
"DH4";12;1
"DH6";2;1
"DH7";18;1
"DH8";13;1
"DH9";15;1
"DHA";3;1
"DHB";2;1
"DHB";11;1
"DHB";13;1
"DHC";2;2
"DHC";10;1
"DHC";12;1
"DHC";13;2
"DHC";15;1
"DHD";3;1
"DHE";12;1
"DHE";17;1
"DHE";19;1
"DHE";26;1
"DHF";9;1
"DHF";14;1
"DHK";11;1
"DHK";13;1
"DHL";5;3
"DHL";7;1
"DHL";8;1
"DHL";9;1
"DHR";4;1
"DHT";13;1
"DHT";14;1
"DHT";16;1
"DIA";5;1
"DIA";8;1
"DIF";6;1
"DIF";7;1
"DIF";8;2
"DIF";9;2
"DIF";10;3
"DIF";11;1
"DIF";13;1
"DIG";14;1
"DIH";2;2
"DIH";12;2
"DIH";15;1
"DIJ";6;1
"DIK";5;1
"DIN";7;1
"DIW";8;1
"DJB";3;1
"DJB";7;1
"DJE";5;1
"DJH";19;1
"DJM";11;1
"DJN";12;1
"DJN";13;1
"DK1";11;1
"DK3";13;1
"DKA";7;1
"DKA";13;1
"DKB";3;1
"DKF";8;1
"DKI";11;1
"DKI";13;2
"DL1";14;1
"DL4";18;1
"DLE";7;1
"DLL";20;1
"DLP";3;1
"DLP";11;1
"DLP";16;1
"DLP";17;2
"DLP";20;1
"DLP";28;1
"DLU";5;1
"DLX";2;1
"DLX";3;2
"DLX";5;1
"DLX";6;1
"DLX";7;3
"DLX";9;1
"DLY";2;1
"DLY";3;1
"DLY";4;1
"DLY";6;1
"DLY";8;1
"DLY";11;1
"DLZ";3;1
"DLZ";17;2
"DLZ";18;1
"DM1";6;1
"DM1";13;1
"DM5";8;1
"DMA";3;2
"DMA";4;1
"DMA";5;1
"DMA";6;2
"DMA";7;2
"DMA";8;5
"DMA";9;2
"DMA";10;3
"DMA";11;1
"DMD";3;1
"DMD";6;1
"DME";9;1
"DMJ";9;1
"DMJ";10;1
"DMJ";13;1
"DMN";3;1
"DMU";2;14
"DMU";3;10
"DMU";4;16
"DMU";5;7
"DMU";6;5
"DMU";7;6
"DMU";8;2
"DMU";9;2
"DMU";10;3
"DMU";11;1
"DMU";13;1
"DMU";14;1
"DMU";15;1
"DMV";10;1
"DMX";8;2
"DMZ";10;1
"DN7";6;1
"DNA";3;1
"DNA";8;1
"DNB";13;1
"DNC";11;1
"DND";5;1
"DND";6;3
"DND";7;1
"DND";8;1
"DND";9;1
"DND";10;2
"DND";11;1
"DND";12;1
"DND";15;1
"DND";21;1
"DND";22;2
"DND";24;1
"DND";25;1
"DNN";6;1
"DNO";7;1
"DNS";10;1
"DNX";7;1
"DO1";15;1
"DO3";2;3
"DO3";4;1
"DO3";6;1
"DOA";9;1
"DOE";6;1
"DOG";2;1
"DOG";8;1
"DOG";9;1
"DOG";15;2
"DOI";19;1
"DOL";4;1
"DOL";5;1
"DON";11;2
"DON";12;1
"DOQ";15;1
"DOR";11;2
"DOR";12;1
"DOW";3;1
"DOW";18;1
"DP6";15;3
"DP6";16;2
"DPF";9;1
"DPM";14;1
"DPM";15;1
"DPM";16;1
"DPM";17;1
"DPN";11;1
"DPO";10;2
"DPV";2;2
"DPV";8;1
"DPW";5;1
"DQH";12;1
"DQY";4;1
"DQY";8;1
"DQY";9;1
"DQZ";7;1
"DR6";4;2
"DR6";5;1
"DR7";14;1
"DR8";2;1
"DR9";4;1
"DR9";6;1
"DR9";14;1
"DRK";14;1
"DRK";15;1
"DRN";14;1
"DRN";19;1
"DS0";12;1
"DSB";11;1
"DSG";2;1
"DSG";10;1
"DSH";21;1
"DSK";13;1
"DSL";13;1
"DSN";2;1
"DSN";9;1
"DST";2;1
"DST";9;6
"DST";10;2
"DST";11;6
"DST";12;1
"DSU";13;1
"DSZ";24;1
"DT";3;1
"DT";5;1
"DT";6;1
"DT3";5;1
"DT6";5;1
"DTB";6;1
"DTB";12;1
"DTK";5;1
"DTK";6;2
"DTK";7;2
"DTK";8;1
"DTL";2;1
"DTP";2;1
"DTP";3;3
"DTP";4;1
"DTP";5;2
"DTP";6;2
"DTP";7;1
"DTP";8;1
"DTP";9;5
"DTP";10;3
"DTP";11;2
"DTP";12;7
"DTP";13;3
"DTP";14;3
"DTP";15;2
"DTP";18;1
"DTP";20;2
"DTR";16;1
"DTX";9;1
"DTX";14;1
"DTY";4;1
"DTY";10;1
"DTZ";2;2
"DU";7;1
"DU";12;1
"DU0";4;1
"DU0";6;1
"DU0";8;1
"DU1";15;1
"DU3";2;1
"DU3";10;1
"DUI";15;1
"DUN";3;1
"DUN";16;1
"DUP";4;6
"DUP";7;5
"DUP";8;1
"DUP";9;4
"DUP";10;1
"DUP";13;1
"DUP";15;2
"DUP";16;1
"DUQ";4;1
"DUQ";10;1
"DUR";2;1
"DUR";8;2
"DUR";9;1
"DUR";11;1
"DUR";12;2
"DUT";4;1
"DUT";12;1
"DUT";13;1
"DUV";12;1
"DVF";15;1
"DVM";14;1
"DVT";2;3
"DWY";16;1
"DWZ";9;2
"DX5";17;1
"DXC";2;3
"DXC";3;4
"DXC";4;6
"DXC";5;1
"DXC";7;1
"DXC";8;3
"DXC";10;2
"DXC";11;2
"DXC";18;1
"DXE";3;2
"DXJ";12;1
"DXK";10;1
"DXL";13;1
"DXO";9;1
"DXP";2;1
"DXP";6;1
"DXP";11;1
"DXR";16;1
"DXV";16;1
"DXX";5;1
"DXX";8;1
"DXY";11;1
"DY";2;1
"DY7";10;1
"DY9";13;1
"DYD";4;1
"DYD";5;1
"DYF";3;1
"DYF";17;1
"DYF";18;1
"DYK";15;1
"DYN";20;1
"DZ4";8;1
"DZ4";15;1
"DZ6";19;1
"DZJ";11;1
"DZR";6;1
"E06";13;1
"E0V";17;1
"E23";5;1
"E23";6;1
"E26";16;1
"E2J";20;1
"E32";2;1
"E33";15;1
"E3F";12;1
"E3X";7;1
"E4C";7;1
"E4C";11;1
"E4M";10;1
"E4P";9;1
"E4P";10;1
"E4S";12;1
"E4Z";14;1
"E53";12;1
"E55";7;1
"E5B";9;1
"E5G";11;1
"E5L";11;1
"E5S";19;1
"E5U";10;1
"E64";3;1
"E64";10;1
"E64";12;2
"E64";13;2
"E64";14;4
"E64";15;1
"E64";19;1
"E69";11;1
"E6D";15;1
"E6O";14;1
"E6R";16;1
"E7O";12;1
"E7O";13;1
"E7R";7;1
"E7Z";10;1
"E84";12;1
"E87";2;1
"E87";3;2
"E87";4;1
"E8Q";25;1
"E8V";14;1
"E8Z";12;1
"E9B";13;1
"E9G";3;1
"E9G";5;1
"E9H";6;1
"E9J";3;1
"E9J";5;1
"E9R";3;1
"E9R";7;1
"E9T";18;1
"EA2";12;1
"EA9";13;1
"EAE";10;1
"EAH";13;1
"EAH";20;1
"EAX";9;1
"EAX";10;1
"EAZ";14;1
"EB4";2;1
"EB4";4;1
"EB4";13;1
"EB4";18;1
"EBC";4;1
"EBN";17;1
"EBX";17;1
"ECH";3;1
"ECH";4;1
"ECH";5;1
"ECH";7;1
"ECH";8;1
"ECH";24;1
"ECH";25;1
"ECI";18;1
"ECL";3;1
"ECL";7;1
"ECL";13;1
"ECN";12;1
